time,car_id,type,x,y,zone_id,None
83,63,van,1353,687,2,-1
83,81,van,2032.5,740.5,2,-1
84,1,van,1032,738.5,2,-1
84,2,van,986.5,649.5,2,-1
84,7,van,1547,742.5,2,-1
84,21,van,1193.5,635,2,-1
84,55,van,376,996.5,1,-1
84,63,van,1346.5,688,2,-1
84,81,van,2025.5,741.5,2,-1
85,1,van,1024,738.5,2,-1
85,2,van,982.5,649.5,2,-1
85,7,van,1538,742,2,-1
85,21,van,1186,635,2,-1
85,55,van,382.5,995.5,1,-1
85,63,van,1340.5,687,2,-1
85,81,van,2021.5,744,2,-1
86,1,van,1016,737.5,2,-1
86,2,van,975,651.5,2,-1
86,7,van,1531,742,2,-1
86,21,van,1180,634.5,2,-1
86,55,van,390,996,1,-1
86,63,van,1333,687,2,-1
86,81,van,2013,744,2,-1
87,1,van,1005.5,738,2,-1
87,2,van,968,651.5,2,-1
87,7,van,1525,742.5,2,-1
87,21,van,1170,634,2,-1
87,55,van,400,996,1,-1
87,63,van,1326,687,2,-1
87,81,van,2005.5,743,2,-1
87,91,van,1757.5,647,2,-1
88,1,van,998,738,2,-1
88,2,van,962,651.5,2,-1
88,7,van,1518,742.5,2,-1
88,21,van,1164.5,633.5,2,-1
88,55,van,408,996,1,-1
88,63,van,1320.5,686.5,2,-1
88,81,van,1998.5,742.5,2,-1
88,91,van,1749,645.5,2,-1
89,1,van,990.5,737.5,2,-1
89,2,van,955.5,651.5,2,-1
89,7,van,1511,741.5,2,-1
89,21,van,1157,634,2,-1
89,55,van,415.5,995,1,-1
